"","date","value"
"259",2008-06-30,0.3
"260",2008-07-01,0
"261",2008-07-02,0
"262",2008-07-03,0
"263",2008-07-04,0
"264",2008-07-05,0
"265",2008-07-06,0
"266",2008-07-07,0
"267",2008-07-08,0
"268",2008-07-09,0
"269",2008-07-10,0
"270",2008-07-11,0
"271",2008-07-12,0
"272",2008-07-13,0
"273",2008-07-14,0
"274",2008-07-15,0
"275",2008-07-16,0
"276",2008-07-17,0
"277",2008-07-18,0
"278",2008-07-19,0
"279",2008-07-20,0
"280",2008-07-21,0
"281",2008-07-22,0
"282",2008-07-23,0
"283",2008-07-24,0
"284",2008-07-25,0
"285",2008-07-26,0
"286",2008-07-27,0
"287",2008-07-28,0.1
"288",2008-07-29,0
"289",2008-07-30,0
"290",2008-07-31,0
"291",2008-08-01,0
"292",2008-08-02,0
"293",2008-08-03,0
"294",2008-08-04,0
"295",2008-08-05,0
"296",2008-08-06,0
"297",2008-08-07,0
"298",2008-08-08,0
"299",2008-08-09,0
"300",2008-08-10,0
"301",2008-08-11,0
"302",2008-08-12,0
"303",2008-08-13,0
"304",2008-08-14,0
"305",2008-08-15,0
"306",2008-08-16,0
"307",2008-08-17,0
"308",2008-08-18,0
"309",2008-08-19,0
"310",2008-08-20,0
"311",2008-08-21,0
"312",2008-08-22,0
"313",2008-08-23,0
"314",2008-08-24,0
"315",2008-08-25,0
"316",2008-08-26,0
"317",2008-08-27,0.1
"318",2008-08-28,0
"319",2008-08-29,0
"320",2008-08-30,0
"321",2008-08-31,0
"322",2008-09-01,0
"323",2008-09-02,0.4
"324",2008-09-03,0
"325",2008-09-04,0
"326",2008-09-05,4.6
"327",2008-09-06,0
"328",2008-09-07,0
"329",2008-09-08,0
"330",2008-09-09,0
"331",2008-09-10,0
"332",2008-09-11,0
"333",2008-09-12,0
"334",2008-09-13,0
"335",2008-09-14,0
"336",2008-09-15,0
"337",2008-09-16,0
"338",2008-09-17,0
"339",2008-09-18,7.8
"340",2008-09-19,0.6
"341",2008-09-20,0
"342",2008-09-21,0
"343",2008-09-22,0
"344",2008-09-23,0
"345",2008-09-24,0
"346",2008-09-25,0
"347",2008-09-26,0
"348",2008-09-27,0
"349",2008-09-28,0
"350",2008-09-29,0
"351",2008-09-30,0
"352",2008-10-01,0
"353",2008-10-02,0
"354",2008-10-03,0
"355",2008-10-04,0
"356",2008-10-05,0
"357",2008-10-06,0
"358",2008-10-07,0
"359",2008-10-08,0
"360",2008-10-09,0
"361",2008-10-10,0
"362",2008-10-11,0
"363",2008-10-12,0
"364",2008-10-13,0
"365",2008-10-14,0
"366",2008-10-15,0
"367",2008-10-16,0.2
"368",2008-10-17,0
"369",2008-10-18,0
"370",2008-10-19,0
"371",2008-10-20,0
"372",2008-10-21,0
"373",2008-10-22,0
"374",2008-10-23,0
"375",2008-10-24,0.7
"376",2008-10-25,13.9
"377",2008-10-26,0
"378",2008-10-27,0
"379",2008-10-28,0
"380",2008-10-29,0
"381",2008-10-30,0
"382",2008-10-31,0
"383",2008-11-01,0
"384",2008-11-02,0
"385",2008-11-03,2.7
"386",2008-11-04,0.2
"387",2008-11-05,0
"388",2008-11-06,0
"389",2008-11-07,1
"390",2008-11-08,0
"391",2008-11-09,0.4
"392",2008-11-10,4.7
"393",2008-11-11,0
"394",2008-11-12,0
"395",2008-11-13,0
"396",2008-11-14,9.8
"397",2008-11-15,1.6
"398",2008-11-16,0
